Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Seniority_Days,ChildrenTotal,HasChildren,TotalSpend,TotalPurchases,TotalCampaignsAccepted,WebEngagement,R_Score,F_Score,M_Score,RFM_Score,RFM_Segmento,Education_Postgraduate,Education_Undergraduate,Marital_Status_Partner,Age_Grupo_Millennial (30–44),Age_Grupo_Gen X (45–59),Age_Grupo_Boomer (60–74),Age_Grupo_Silent (75+),Income_Faixa_Média-baixa,Income_Faixa_Média-alta,Income_Faixa_Alta,Valor_Cliente_Prata,Valor_Cliente_Ouro,Valor_Cliente_Platina
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,69,4867,0,0,1617,25,0,1.1428571428571428,2,4,4,10,Campeões,0,0,0,0,0,1,0,0,1,0,0,0,1
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,72,4317,2,1,27,6,0,0.2,3,1,1,5,Em risco,0,0,0,0,0,1,0,1,0,0,0,0,0
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,61,4516,0,0,776,21,0,2.0,3,3,3,9,Leais,0,0,1,0,0,1,0,0,0,1,0,1,0
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,42,4343,1,1,53,8,0,0.3333333333333333,3,1,1,5,Em risco,0,0,1,1,0,0,0,0,0,0,0,0,0
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,45,4365,1,1,422,19,0,1.0,1,3,3,7,Potencial,1,0,1,0,1,0,0,0,1,0,0,1,0
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,59,4497,1,1,716,22,0,1.0,4,4,3,11,Campeões,1,0,1,0,1,0,0,0,1,0,0,1,0
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,55,4797,1,1,590,21,0,1.1666666666666667,3,3,3,9,Leais,0,0,0,0,1,0,0,0,1,0,0,1,0
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,41,4621,1,1,169,10,0,0.5,3,2,2,7,Potencial,1,0,1,1,0,0,0,0,0,0,1,0,0
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,52,4592,1,1,46,6,0,0.3333333333333333,4,1,1,6,Potencial,1,0,1,0,1,0,0,0,0,0,0,0,0
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,76,4312,2,1,49,2,1,0.05,2,1,1,4,Em risco,1,0,1,0,0,0,1,0,0,0,0,0,0
